index;budget;genres;original_title;popularity;revenue;runtime;title;vote_average;profit
1112;43000000;Drama;Finding Forrester;19043286;80049764;1360;Finding Forrester;70;37049764
1113;43000000;Comedy Drama;28 Days;5418921;0;1030;28 Days;60;-43000000
1114;45000000;Action Crime;Unleashed;2,60E+16;50871113;1030;Unleashed;66;5871113
1115;43000000;Romance Comedy;The Sweetest Thing;1865632;68696770;840;The Sweetest Thing;53;25696770
1116;42000000;Drama Mystery Thriller;The Firm;23736535;270248367;1540;The Firm;66;228248367
1117;44000000;Drama;Charlie St. Cloud;2175433;48190704;990;Charlie St. Cloud;68;4190704
1118;40000000;Action Thriller Crime;The Mechanic;44094856;51070807;930;The Mechanic;63;11070807
1119;42000000;Action Comedy Crime;21 Jump Street;6,27E+16;201585328;1090;21 Jump Street;67;159585328
1120;42000000;Romance Comedy Drama;Notting Hill;28969151;363889678;1240;Notting Hill;70;321889678
1121;45000000;Animation Comedy Family;Chicken Run;31789029;224834564;840;Chicken Run;65;179834564
1122;42000000;Comedy Romance;Along Came Polly;3,32E+16;171963386;900;Along Came Polly;58;129963386
1123;40000000;Comedy Romance;Boomerang;6,42E+16;70100000;1170;Boomerang;54;30100000
1124;43000000;Action Comedy Crime;The Heat;37654688;158674180;1170;The Heat;65;115674180
1125;31115000;Drama History Romance;Cleopatra;13244365;71000000;2480;Cleopatra;67;39885000
1126;0;Comedy;Here Comes the Boom;26799913;73100172;1050;Here Comes the Boom;60;73100172
1127;42000000;Drama Mystery Thriller Crime;High Crimes;14046705;63781810;1150;High Crimes;61;21781810
1128;42000000;Comedy Drama Romance;The Mirror Has Two Faces;3844926;0;1260;The Mirror Has Two Faces;65;-42000000
1129;32000000;Drama Horror Mystery;The Mothman Prophecies;14733513;55157539;1190;The Mothman Prophecies;61;23157539
1130;42000000;Comedy;Brüno;16122168;0;830;Brüno;54;-42000000
1131;32000000;Adventure Action Thriller;Licence to Kill;2,82E+16;156167015;1330;Licence to Kill;59;124167015
1132;42000000;Fantasy Thriller Horror;Red Riding Hood;45151657;89162162;1000;Red Riding Hood;56;47162162
1133;60000000;Action Crime Thriller;15 Minutes;15205371;56359980;1200;15 Minutes;57;-3640020
1134;48000000;Adventure Comedy Family Fantasy;Super Mario Bros.;14587367;20915465;1040;Super Mario Bros.;40;-27084535
1135;42000000;Crime Drama Thriller;Lord of War;34828241;24127895;1220;Lord of War;70;-17872105
1136;31000000;Drama Adventure Action History;英雄;23607392;177394432;990;Hero;72;146394432
1137;40000000;Action Comedy Crime;One for the Money;19438503;36893721;910;One for the Money;53;-3106279
1138;44000000;Action Comedy;The Interview;7,42E+15;12342632;1120;The Interview;61;-31657368
1139;42000000;Adventure Fantasy Action Western Thriller;The Warrior's Way;7349497;11087569;1000;The Warrior's Way;63;-30912431
1140;33000000;Action Comedy Crime;Micmacs à tire-larigot;7,66E+16;14000000;1000;Micmacs;68;-19000000
1141;41000000;Drama;8 Mile;32798571;215000000;1100;8 Mile;68;174000000
1142;0;Adventure Comedy Animation;Pourquoi j'ai pas mangé mon père;5,79E+15;0;1000;Why I Did (Not) Eat My Father;53;0
1143;65000000;Adventure Drama Romance Action;A Knight's Tale;3,67E+16;117487473;1320;A Knight's Tale;66;52487473
1144;41000000;Thriller Fantasy Action Comedy;The Medallion;14653718;0;880;The Medallion;53;-41000000
1145;40000000;Mystery Thriller Drama;The Sixth Sense;73085576;672806292;1070;The Sixth Sense;77;632806292
1146;42000000;Action Thriller Crime;Man on a Ledge;34041407;46221189;1020;Man on a Ledge;62;4221189
1147;41000000;Comedy;The Big Year;9,42E+15;7448385;1000;The Big Year;56;-33551615
1148;8000000;Drama;The Karate Kid;2,85E+16;90815558;1260;The Karate Kid;69;82815558
1149;40000000;Drama Crime;American Hustle;4,97E+15;251171807;1380;American Hustle;68;211171807
1150;40000000;Comedy Romance Drama;The Proposal;36238968;317375031;1080;The Proposal;67;277375031
1151;70000000;Crime Drama Mystery Thriller;Double Jeopardy;19439386;177841558;1050;Double Jeopardy;62;107841558
1152;40000000;Adventure Comedy Family Science Fiction;Back to the Future Part II;43345252;332000000;1080;Back to the Future Part II;74;292000000
1153;40000000;Action Science Fiction;Lucy;115241998;126546825;890;Lucy;63;86546825
1154;40000000;Drama Romance Thriller;Fifty Shades of Grey;98755657;571006128;1250;Fifty Shades of Grey;52;531006128
1155;38000000;Action Adventure Comedy Family Science Fiction;Spy Kids 3-D: Game Over;21998734;197011982;840;Spy Kids 3-D: Game Over;47;159011982
1156;40000000;Crime Drama Thriller;A Time to Kill;2,52E+16;152266007;1490;A Time to Kill;70;112266007
1157;40000000;Comedy;Cheaper by the Dozen;26516624;190212113;980;Cheaper by the Dozen;60;150212113
1158;40000000;Action Drama Thriller War;Lone Survivor;37084384;149295601;1210;Lone Survivor;74;109295601
1159;40000000;Comedy;A League of Their Own;2,17E+16;107458785;1280;A League of Their Own;67;67458785
1160;40000000;Horror;The Conjuring 2;68794673;320170008;1340;The Conjuring 2;70;280170008
1161;40000000;Drama;The Social Network;6,93E+15;224920315;1200;The Social Network;71;184920315
1162;40000000;Comedy Romance Drama;He's Just Not That Into You;26253357;177259441;1290;He's Just Not That Into You;62;137259441
1163;45000000;Comedy;Scary Movie 4;32549282;178262620;830;Scary Movie 4;53;133262620
1164;40000000;Horror Mystery;Scream 3;24992057;161834276;1160;Scream 3;57;121834276
1165;40000000;Adventure Comedy Family Science Fiction;Back to the Future Part III;45769562;244527583;1180;Back to the Future Part III;71;204527583
1166;40000000;Comedy;Get Hard;36301202;111811453;1000;Get Hard;59;71811453
1167;40000000;Romance Horror;Dracula;45022964;215862692;1280;Dracula;71;175862692
1168;40000000;Romance Drama;Julie & Julia;22853006;129540499;1230;Julie & Julia;66;89540499
1169;40000000;Drama;42;3,19E+15;95020213;1280;42;68;55020213
1170;40000000;Thriller Crime Drama;The Talented Mr. Ripley;31385257;128798265;1390;The Talented Mr. Ripley;70;88798265
1171;40000000;Comedy;Dumb and Dumber To;67767785;169837010;1100;Dumb and Dumber To;54;129837010
1172;40000000;Adventure Drama Family;Eight Below;24287306;120455994;1200;Eight Below;67;80455994
1173;35000000;Comedy;The Intern;53114573;194564672;1210;The Intern;71;159564672
1174;40000000;Action Comedy;Ride Along 2;2,51E+16;124827316;1020;Ride Along 2;61;84827316
1175;40000000;Action Adventure Drama History Romance;The Last of the Mohicans;3,78E+16;75505856;1120;The Last of the Mohicans;71;35505856
1176;40000000;Drama Music;Ray;2,17E+16;124731534;1520;Ray;72;84731534
1177;40000000;Action Thriller Crime;Sin City;66003433;158733820;1240;Sin City;72;118733820
1178;40000000;Drama Action Thriller Crime;Vantage Point;24862767;151161491;900;Vantage Point;62;111161491
1179;41000000;Comedy;I Love You, Man;25391899;91636986;1050;I Love You, Man;65;50636986
1180;40000000;Comedy Romance;Shallow Hal;2,99E+16;141069860;1140;Shallow Hal;57;101069860
1181;40000000;Drama Thriller History;JFK;2682041;205405498;1890;JFK;75;165405498
1182;40000000;Comedy Crime;Big Momma's House 2;1,76E+16;138259062;990;Big Momma's House 2;54;98259062
1183;57000000;Action Comedy Crime Romance;The Mexican;21021809;147845033;1230;The Mexican;58;90845033
1184;20000000;Comedy;17 Again;52571674;136267476;1020;17 Again;61;116267476
1185;40000000;Comedy Romance;The Other Woman;34519636;196781193;1090;The Other Woman;62;156781193
1186;40000000;Horror Mystery;The Final Destination;32478077;186167139;820;The Final Destination;54;146167139
1187;40000000;Thriller Drama;Bridge of Spies;4,84E+16;165478348;1410;Bridge of Spies;72;125478348
1188;40000000;Action Drama Thriller War;Behind Enemy Lines;2,40E+16;91753202;1060;Behind Enemy Lines;60;51753202
1189;40000000;Comedy;Get Him to the Greek;17869443;90029656;1090;Get Him to the Greek;59;50029656
1190;50000000;Drama Romance Comedy;Shall We Dance?;1,42E+16;170128460;1070;Shall We Dance?;59;120128460
1191;40000000;Comedy Adventure Fantasy Science Fiction Action;Small Soldiers;2,31E+16;54682547;1100;Small Soldiers;62;14682547
1192;40000000;Action Adventure Fantasy Horror Science Fiction;Spawn;1,98E+16;87840042;960;Spawn;50;47840042
1193;35000000;Action Adventure Drama Thriller;The Count of Monte Cristo;26595983;75395048;1310;The Count of Monte Cristo;73;40395048
1194;40000000;Crime Drama Thriller;The Lincoln Lawyer;26072228;85412898;1190;The Lincoln Lawyer;70;45412898
1195;30000000;Action Mystery Thriller;Unknown;38643914;130786397;1130;Unknown;65;100786397
1196;40000000;Drama Mystery Thriller;The Prestige;74440708;109676311;1300;The Prestige;80;69676311
1197;42000000;Comedy;Horrible Bosses 2;82185281;107670357;1080;Horrible Bosses 2;61;65670357
1198;40000000;Animation Comedy Adventure Family Science Fiction;Escape from Planet Earth;1814218;74597643;890;Escape from Planet Earth;57;34597643
1199;40000000;Action Adventure Drama Thriller;Apocalypto;4,16E+16;120175290;1390;Apocalypto;73;80175290
1200;40000000;Action Adventure Thriller;The Living Daylights;23331459;191185897;1300;The Living Daylights;62;151185897
1201;40000000;Action Science Fiction Adventure Thriller;Predators;4,76E+16;126248813;1070;Predators;60;86248813
1202;0;Comedy Crime Drama Romance Thriller;Legal Eagles;7519433;0;1160;Legal Eagles;58;0
1203;40000000;Thriller Mystery;Secret Window;32908414;92913171;960;Secret Window;64;52913171
1204;40000000;Romance Drama Mystery;The Lake House;2,99E+16;114830111;990;The Lake House;65;74830111
1205;43000000;Drama Horror Mystery Thriller;The Skeleton Key;29105407;91974818;1040;The Skeleton Key;64;48974818
1206;0;Fantasy Drama Comedy Family;The Odd Life of Timothy Green;1,64E+16;51854875;1050;The Odd Life of Timothy Green;65;51854875
1207;40000000;Comedy Romance;Made of Honor;1,96E+16;84601681;1010;Made of Honor;60;44601681
1208;40000000;Music Drama;Jersey Boys;1,42E+16;67347013;1340;Jersey Boys;68;27347013
1209;40000000;Drama Crime Thriller;The Rainmaker;12229516;45916769;1350;The Rainmaker;67;5916769
1210;40000000;Horror Thriller;Gothika;27303608;141591324;980;Gothika;58;101591324
1211;36000000;Drama History Mystery;Amistad;3,70E+16;74000000;1550;Amistad;68;38000000
1212;40000000;Adventure;Medicine Man;7,02E+15;0;1060;Medicine Man;58;-40000000
1213;40000000;Fantasy Action Science Fiction Thriller Horror;Aliens vs Predator: Requiem;39381913;41797066;940;Aliens vs Predator: Requiem;49;1797066
1214;40000000;Comedy Family;Ri¢hie Ri¢h;14398356;0;950;Ri¢hie Ri¢h;54;-40000000
1215;65000000;Drama Romance;Autumn in New York;8680334;0;1030;Autumn in New York;57;-65000000
1216;40000000;Comedy Music Romance;Music and Lyrics;17659032;145896422;960;Music and Lyrics;62;105896422
1217;40000000;Adventure Comedy Science Fiction;Paul;43151268;97552050;1040;Paul;65;57552050
1218;40000000;Comedy;The Guilt Trip;15283444;41863726;950;The Guilt Trip;54;1863726
1219;40000000;Horror Mystery;Scream 4;3521926;97138686;1110;Scream 4;61;57138686
1220;40000000;Thriller Crime Mystery;8MM;25580272;96618699;1230;8MM;61;56618699
1221;38000000;Drama Music;The Doors;10794175;34416893;1400;The Doors;67;-3583107
1222;40000000;Comedy;Sex Tape;72641296;126069509;970;Sex Tape;53;86069509
1223;40000000;Comedy Drama;Hanging Up;3,42E+16;36037909;940;Hanging Up;50;-3962091
1224;47000000;Horror Mystery;Final Destination 5;38555482;157887643;920;Final Destination 5;59;110887643
1225;0;Comedy Crime Romance;Mickey Blue Eyes;6786117;0;1020;Mickey Blue Eyes;53;0
1226;40000000;Drama Romance;Pay It Forward;24313684;55707411;1220;Pay It Forward;70;15707411
1227;30000000;Comedy Drama Romance;Fever Pitch;9965073;50451307;1030;Fever Pitch;59;20451307
1228;40000000;Comedy;Drillbit Taylor;15055732;0;1020;Drillbit Taylor;55;-40000000
1229;0;Comedy Western;A Million Ways to Die in the West;32808675;0;1160;A Million Ways to Die in the West;58;0
1230;25000000;Adventure Fantasy Action Thriller Science Fiction;The Shadow;8178203;48063435;1080;The Shadow;54;23063435
1231;40000000;Drama;Extremely Loud & Incredibly Close;31066874;55247881;1290;Extremely Loud & Incredibly Close;69;15247881
1232;40000000;Comedy Drama Romance;Morning Glory;22491388;58785180;1020;Morning Glory;61;18785180
1233;40000000;Drama;Get Rich or Die Tryin';12885985;46442528;1170;Get Rich or Die Tryin';63;6442528
1234;40000000;Crime Action Adventure;The Art of War;7832337;30199105;1170;The Art of War;56;-9800895
1235;40000000;Drama Romance;Rent;10433667;31670620;1350;Rent;67;-8329380
1236;40000000;Drama Horror Thriller Crime;Bless the Child;3,32E+16;0;1070;Bless the Child;49;-40000000
1237;75000000;Comedy;The Out-of-Towners;4842626;29000000;900;The Out-of-Towners;50;-46000000
1238;40000000;Fantasy Horror Science Fiction;The Island of Dr. Moreau;13210898;49627779;960;The Island of Dr. Moreau;46;9627779
1239;40000000;Action Adventure Drama;The Musketeer;3296933;27053815;1040;The Musketeer;52;-12946185
1240;35000000;Drama;The Other Boleyn Girl;22939557;0;1150;The Other Boleyn Girl;64;-35000000
1241;40000000;Drama Romance;Sweet November;19372805;65754228;1190;Sweet November;64;25754228
1242;40000000;Horror;The Reaping;1,34E+16;62771059;990;The Reaping;54;22771059
1243;500000;Drama Crime;Mean Streets;1,70E+16;3000000;1100;Mean Streets;72;2500000
1244;40000000;Comedy War;Renaissance Man;4516953;24332324;1280;Renaissance Man;59;-15667676
1245;40000000;Action Thriller Crime Drama;Colombiana;33785969;60965854;1080;Colombiana;65;20965854
1246;40000000;Fantasy Animation Drama Romance Family;Quest for Camelot;1,61E+16;38172500;860;Quest for Camelot;69;-1827500
1247;40000000;Crime Drama Mystery;City By The Sea;3,48E+16;22433915;1080;City By The Sea;57;-17566085
1248;0;Drama Romance;At First Sight;5,78E+16;0;1280;At First Sight;59;0
1249;40000000;Action;Torque;7,36E+16;46546197;840;Torque;47;6546197
1250;0;Drama Thriller;City Hall;3621837;0;1110;City Hall;60;0
1251;45000000;Drama;Showgirls;1,45E+16;20350754;1280;Showgirls;49;-24649246
1252;40000000;Drama History;Marie Antoinette;22364549;60474340;1230;Marie Antoinette;65;20474340
1253;40000000;Action Crime Drama Thriller;Kiss of Death;6,91E+15;0;1010;Kiss of Death;57;-40000000
1254;63600000;Action Drama Thriller Crime;Get Carter;4494788;19412993;1020;Get Carter;48;-44187007
1255;42000000;Thriller Drama;Lo imposible;47559928;180274123;1130;The Impossible;70;138274123
1256;55000000;Action Adventure Comedy;Ishtar;2410546;14375181;1070;Ishtar;42;-40624819
1257;40000000;Adventure Animation Comedy Family;Fantastic Mr. Fox;41258956;46471023;870;Fantastic Mr. Fox;75;6471023
1258;40000000;Comedy Drama Romance;Life or Something Like It;8,98E+15;16872671;1030;Life or Something Like It;57;-23127329
1259;40000000;Comedy Fantasy Science Fiction;Memoirs of an Invisible Man;7222985;14358033;990;Memoirs of an Invisible Man;57;-25641967
1260;10000000;Comedy Romance;Le fabuleux destin d'Amélie Poulain;73720244;173921954;1220;Amélie;78;163921954
1261;0;Comedy;New York Minute;100403;0;910;New York Minute;55;0
1262;60000000;Comedy;Alfie;15219263;13395939;1030;Alfie;56;-46604061
1263;40000000;Adventure Drama Romance;Big Miracle;8303696;24719215;1070;Big Miracle;66;-15280785
1264;38000000;Drama Mystery;The Deep End of the Ocean;4746085;28121100;1060;The Deep End of the Ocean;59;-9878900
1265;40000000;Horror Thriller;FearDotCom;6756886;18902015;1010;FearDotCom;32;-21097985
1266;40000000;Adventure Fantasy Action Thriller;Cirque du Freak: The Vampire's Assistant;16424807;28169671;1090;Cirque du Freak: The Vampire's Assistant;55;-11830329
1267;40000000;Action Comedy Thriller;Duplex;15590001;19322135;890;Duplex;59;-20677865
1268;0;Comedy Music;Soul Men;5483671;0;1030;Soul Men;63;0
1269;0;Action Drama Thriller;Raise the Titanic;1630541;0;1150;Raise the Titanic;52;0
1270;45000000;Action Science Fiction;Universal Soldier: The Return;1,46E+16;10667893;820;Universal Soldier: The Return;42;-34332107
1271;33000000;Action Horror Mystery Science Fiction Thriller;Pandorum;28353517;20645327;1080;Pandorum;65;-12354673
1272;40000000;Action Science Fiction Thriller;Impostor;9579975;0;1020;Impostor;61;-40000000
1273;40000000;Action Adventure Drama Thriller;Extreme Ops;2911819;10959475;930;Extreme Ops;50;-29040525
1274;0;Comedy Fantasy Science Fiction;Just Visiting;10844882;0;880;Just Visiting;48;0
1275;50000000;Science Fiction Thriller;Sunshine;51502884;32017803;1070;Sunshine;70;-17982197
1276;40000000;Drama Comedy;A Thousand Words;1,31E+16;22044277;910;A Thousand Words;60;-17955723
1277;40000000;Adventure Fantasy Animation Comedy Science Fiction;Delgo;4238482;0;940;Delgo;54;-40000000
1278;40000000;Action Drama Crime;The Gunman;26935458;13644292;1150;The Gunman;55;-26355708
1279;40000000;Adventure Action Family;Stormbreaker;16282962;23937870;930;Stormbreaker;51;-16062130
1280;20000000;Thriller Drama Mystery;Disturbia;31690456;117760134;1050;Disturbia;66;97760134
1281;20000000;Action Crime Thriller Drama;Hackers;17842246;7563728;1070;Hackers;62;-12436272
1282;0;Action Adventure Thriller Drama;The Hunting Party;8,05E+15;0;1010;The Hunting Party;66;0
1283;30000000;Comedy Drama;The Hudsucker Proxy;1,42E+16;0;1110;The Hudsucker Proxy;71;-30000000
1284;40000000;Action Drama History;投名狀;6884467;0;1260;The Warlords;63;-40000000
1285;25000000;Action History War;Nomad;8,21E+15;0;1120;Nomad: The Warrior;43;-25000000
1286;39200000;Action Science Fiction Drama;Snowpiercer;64238688;86758912;1260;Snowpiercer;67;47558912
1287;25000000;Adventure Animation Comedy Family Fantasy;Un monstre à Paris;17375562;0;900;A Monster in Paris;65;-25000000
1288;0;Action Comedy;The Last Shot;67698;0;900;The Last Shot;59;0
1289;15000000;Fantasy Action Thriller;The Crow;44690107;94000000;1020;The Crow;73;79000000
1290;40000000;Action Adventure War History;Baahubali: The Beginning;1,63E+16;100000000;1590;Baahubali: The Beginning;75;60000000
1291;39000000;Drama Romance Fantasy;The Time Traveler's Wife;3,75E+16;101229792;1070;The Time Traveler's Wife;67;62229792
1292;0;Comedy;Because I Said So;18678415;69485490;1020;Because I Said So;58;69485490
1293;39000000;Animation Comedy Family;Frankenweenie;2,79E+16;35287788;870;Frankenweenie;66;-3712212
1294;39000000;Science Fiction Action Adventure Thriller;Serenity;45388937;38869464;1190;Serenity;74;-130536
1295;39000000;Romance Drama;Against the Ropes;2817364;6614280;1060;Against the Ropes;45;-32385720
1296;39000000;Comedy Action Adventure Fantasy Science Fiction;Superman III;22164202;75850624;1250;Superman III;53;36850624
1297;40000000;Comedy;Grudge Match;21362949;44907260;1130;Grudge Match;60;4907260
1298;80341000;Adventure Drama Action;Chi bi;148375;127814609;1500;Red Cliff;71;47473609
1299;30000000;Comedy Romance;Sweet Home Alabama;18256028;180622424;1080;Sweet Home Alabama;60;150622424
1300;38000000;Comedy Romance;The Ugly Truth;2,23E+16;205298907;960;The Ugly Truth;64;167298907
1301;0;Comedy Family;Sgt. Bilko;5,42E+16;0;900;Sgt. Bilko;55;0
1302;38000000;Action Adventure Family;Spy Kids 2: The Island of Lost Dreams;24085144;119723358;1000;Spy Kids 2: The Island of Lost Dreams;53;81723358
1303;38000000;Science Fiction Action Adventure Thriller;Star Trek: Generations;1,48E+16;120000000;1180;Star Trek: Generations;64;82000000
1304;3860000;Action Drama History;一代宗師;1,99E+16;64076736;1300;The Grandmaster;63;60216736
1305;38000000;Drama Romance;Water for Elephants;16801218;114156230;1200;Water for Elephants;67;76156230
1306;40000000;Adventure Family Fantasy Animation;Dragon Nest: Warriors' Dawn;5057695;0;880;Dragon Nest: Warriors' Dawn;68;-40000000
1307;50000000;Drama;The Hurricane;20825781;73956241;1460;The Hurricane;72;23956241
1308;38000000;Drama Thriller;Enough;11500783;51801187;1140;Enough;62;13801187
1309;35000000;Crime Comedy Romance;Heartbreakers;13932203;0;1230;Heartbreakers;57;-35000000
1310;38000000;Action Comedy Family;Paul Blart: Mall Cop 2;41258487;107597242;940;Paul Blart: Mall Cop 2;50;69597242
1311;53000000;Drama Romance Thriller;Angel Eyes;6,45E+16;29700000;1020;Angel Eyes;56;-23300000
1312;38000000;Comedy;Joe Somebody;5257009;0;990;Joe Somebody;55;-38000000
1313;38000000;Horror Mystery Thriller;The Ninth Gate;30359164;58401898;1330;The Ninth Gate;63;20401898
1314;38000000;Drama Thriller;Extreme Measures;3,43E+16;17380126;1180;Extreme Measures;57;-20619874
1315;57000000;Music Drama Comedy;Rock Star;1160815;16991902;1050;Rock Star;60;-40008098
1316;10000000;Drama;Precious;18664624;47536959;1100;Precious;69;37536959
1317;38000000;Action Drama;White Squall;1,00E+16;10300000;1290;White Squall;63;-27700000
1318;15000000;Horror Mystery Science Fiction;The Thing;5,27E+16;19629760;1090;The Thing;78;4629760
1319;38000000;Science Fiction Action Thriller;Riddick;46630062;98337295;1190;Riddick;62;60337295
1320;37000000;Action Adventure Mystery Thriller;Switchback;4131546;6482195;1180;Switchback;58;-30517805
1321;0;Action Western;Texas Rangers;5641978;0;1100;Texas Rangers;54;0
1322;55000000;Adventure Family Fantasy;City of Ember;23465539;17869048;900;City of Ember;62;-37130952
1323;32000000;Drama;The Master;25682509;28258060;1370;The Master;70;-3741940
1324;38000000;Adventure Action Comedy Romance;Virgin Territory;6760922;5410749;930;Virgin Territory;43;-32589251
1325;40000000;Drama;The Express;3,88E+16;9793496;1300;The Express;71;-30206504
1326;38000000;Adventure Science Fiction;The 5th Wave;57889964;109906372;1120;The 5th Wave;56;71906372
1327;37000000;Drama;Creed;5,78E+16;173567581;1330;Creed;73;136567581
1328;37000000;Crime Drama Thriller;The Town;24218358;154026136;1250;The Town;70;117026136
1329;40000000;Romance Comedy Drama;What to Expect When You're Expecting;2,70E+16;79700000;1100;What to Expect When You're Expecting;58;39700000
1330;37000000;Comedy Drama;Burn After Reading;3,19E+16;163720069;960;Burn After Reading;65;126720069
1331;37000000;Adventure Comedy Family Fantasy;Nim's Island;14353279;100076342;960;Nim's Island;56;63076342
1332;38000000;Drama Action;Rush;3,30E+15;90247624;1230;Rush;77;52247624
1333;37000000;Drama;Magnolia;30993736;48451803;1880;Magnolia;75;11451803
1334;30000000;Action Comedy Crime;Cop Out;25825771;55583804;1070;Cop Out;53;25583804
1335;38000000;Comedy Romance;How to Be Single;4,61E+16;112343513;1100;How to Be Single;59;74343513
1336;37000000;Drama Family;Dolphin Tale;6,64E+15;95404397;1130;Dolphin Tale;67;58404397
1337;37000000;Adventure Fantasy Drama Romance;Twilight;127084938;392616625;1220;Twilight;58;355616625
1338;36000000;Drama Thriller Crime;John Q;27465433;102244770;1160;John Q;70;66244770
1339;65000000;Action Comedy Crime;Blue Streak;16865782;117758500;930;Blue Streak;61;52758500
1340;37000000;Comedy Crime;We're the Millers;100348805;269994119;1100;We're the Millers;68;232994119
1341;36500000;Action Fantasy Science Fiction Thriller;Obitaemyy Ostrov;2785832;21834845;1150;The Inhabited Island;53;-14665155
1342;36000000;Drama Action Thriller;Breakdown;9176339;50159144;950;Breakdown;66;14159144
1343;36000000;Adventure Action Thriller;Never Say Never Again;23380757;160000000;1340;Never Say Never Again;58;124000000
1344;36000000;Science Fiction Comedy Adventure;Hot Tub Time Machine;33926473;64572262;1010;Hot Tub Time Machine;60;28572262
1345;36000000;Family Drama;Dolphin Tale 2;6967857;52424533;1070;Dolphin Tale 2;67;16424533
1346;42000000;Thriller;Reindeer Games;11470135;32168970;1240;Reindeer Games;54;-9831030
1347;36000000;Action Drama;A Man Apart;19854932;44350926;1090;A Man Apart;58;8350926
1348;37000000;Drama Comedy Romance;Aloha;2,97E+16;26250020;1050;Aloha;52;-10749980
1349;0;History Drama;Ghosts of Mississippi;8102925;0;1300;Ghosts of Mississippi;62;0
1350;0;Drama Romance;Snow Falling on Cedars;279483;0;1270;Snow Falling on Cedars;63;0
1351;37000000;Drama Thriller Horror;The Rite;1,15E+16;96047633;1140;The Rite;58;59047633
1352;36000000;Thriller Science Fiction Mystery Romance;Gattaca;70398356;12532777;1060;Gattaca;75;-23467223
1353;36000000;Drama Comedy;Isn't She Great;1068453;3003296;950;Isn't She Great;46;-32996704
1354;37000000;Animation Family;Space Chimps;6,29E+15;63800345;810;Space Chimps;52;26800345
1355;0;Comedy;Head of State;3,46E+16;0;950;Head of State;53;0
1356;35000000;Comedy;The Hangover;8221166;459270619;1000;The Hangover;72;424270619
1357;36000000;Action Drama History;葉問3;19167377;156844753;1050;Ip Man 3;65;120844753
1358;33000000;Adventure Comedy Crime Science Fiction;Austin Powers: The Spy Who Shagged Me;18316151;310940086;950;Austin Powers: The Spy Who Shagged Me;62;277940086
1359;35000000;Fantasy Action;Batman;44104469;411348924;1260;Batman;70;376348924
1360;0;Drama;There Be Dragons;6,67E+15;0;1120;There Be Dragons;59;0
1361;35000000;Adventure Action Comedy Thriller Crime;Lethal Weapon 3;36172182;321731527;1180;Lethal Weapon 3;64;286731527
1362;29000000;Drama;The Blind Side;25767395;309208309;1290;The Blind Side;72;280208309
1363;35000000;Action Comedy Family Adventure;Spy Kids;21543389;147934180;880;Spy Kids;55;112934180
1364;35000000;Comedy Crime;Horrible Bosses;50309843;117000000;980;Horrible Bosses;65;82000000
1365;38000000;Drama Adventure Western;True Grit;4,93E+15;252276927;1100;True Grit;72;214276927
1366;35000000;Comedy Drama Romance;The Devil Wears Prada;8,39E+15;326551094;1090;The Devil Wears Prada;70;291551094
1367;35000000;Science Fiction Adventure Mystery;Star Trek: The Motion Picture;24616634;139000000;1320;Star Trek: The Motion Picture;62;104000000
1368;35000000;Comedy Crime;Identity Thief;34005726;173965010;1110;Identity Thief;56;138965010
1369;35000000;Crime Thriller;Cape Fear;27714043;182300000;1280;Cape Fear;70;147300000
1370;35000000;Drama Crime;21;4,51E+16;69823199;1230;21;65;34823199
1371;35000000;Comedy;Trainwreck;72774941;140795793;1250;Trainwreck;59;105795793
1372;35000000;Comedy Romance;Guess Who;374263;68915888;1050;Guess Who;55;33915888
1373;27000000;Drama Romance War;The English Patient;2,94E+16;231976425;1620;The English Patient;70;204976425
1374;35000000;Crime Drama Mystery Thriller;L.A. Confidential;24860326;126216940;1380;L.A. Confidential;77;91216940
1375;35000000;Adventure Comedy Family;Sky High;11041659;86369815;1000;Sky High;58;51369815
1376;35000000;Comedy Romance;In & Out;11897925;0;900;In & Out;63;-35000000
1377;35000000;Science Fiction Horror Action;Species;2,36E+16;113374103;1080;Species;55;78374103
1378;1800000;Horror;A Nightmare on Elm Street;38204158;25504513;910;A Nightmare on Elm Street;72;23704513
1379;33000000;Horror Science Fiction Thriller;The Cell;2,54E+16;104155843;1070;The Cell;60;71155843
1380;0;Action Adventure Drama;The Man in the Iron Mask;2898027;0;1320;The Man in the Iron Mask;63;0
1381;35000000;Drama;Secretariat;9525037;60251371;1230;Secretariat;68;25251371
1382;34000000;Adventure Animation Comedy Family;TMNT;1839217;95608995;900;TMNT;60;61608995
1383;32000000;Drama;Radio;9254647;52277485;1090;Radio;68;20277485
1384;35000000;Romance Comedy;Friends with Benefits;40526587;150483765;1090;Friends with Benefits;65;115483765
1385;35000000;Comedy;Neighbors 2: Sorority Rising;5,02E+16;108758521;910;Neighbors 2: Sorority Rising;56;73758521
1386;35000000;Comedy Drama History;Saving Mr. Banks;3,20E+16;112544580;1250;Saving Mr. Banks;73;77544580
1387;34000000;Drama History;Malcolm X;19822791;48169908;2020;Malcolm X;72;14169908
1388;35000000;Comedy;This Is 40;38429648;88058786;1340;This Is 40;56;53058786
1389;35000000;Comedy Family;Old Dogs;1,37E+16;92219310;880;Old Dogs;52;57219310
1390;35000000;Fantasy Action Adventure Science Fiction Thriller;Underworld: Rise of the Lycans;5,19E+16;91353501;920;Underworld: Rise of the Lycans;62;56353501
